method,uri,action,middleware,permissions,sensitive,controller_authorize_call,form_request_authorize,transition_guard_hint,transition_guard_signal,risk
PATCH,/api/v1/workshop/tasks/{id}/status,"App\Http\Controllers\Api\V1\WorkshopController@updateTaskStatus",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,transition_guard_present,controller_transition_check_detected,low-medium
GET,/api/v1/workshop/tasks/stats,"App\Http\Controllers\Api\V1\WorkshopController@taskStats",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/workshop/tasks/smart-summary,"App\Http\Controllers\Api\V1\WorkshopController@smartTaskSummary",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/workshop/tasks/suggested-assignees,"App\Http\Controllers\Api\V1\WorkshopController@suggestTaskAssignees",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/workshop/communications,"App\Http\Controllers\Api\V1\AdminCommunicationController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,yes,no,not_applicable,read_only_route,low
POST,/api/v1/workshop/communications,"App\Http\Controllers\Api\V1\AdminCommunicationController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
PUT,/api/v1/workshop/communications/{id},"App\Http\Controllers\Api\V1\AdminCommunicationController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/workshop/communications/{id}/submit,"App\Http\Controllers\Api\V1\AdminCommunicationController@submit",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/workshop/communications/{id}/transfer,"App\Http\Controllers\Api\V1\AdminCommunicationController@transfer",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/workshop/communications/{id}/request-signature,"App\Http\Controllers\Api\V1\AdminCommunicationController@requestSignature",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/workshop/communications/{id}/sign,"App\Http\Controllers\Api\V1\AdminCommunicationController@sign",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/workshop/communications/{id}/archive,"App\Http\Controllers\Api\V1\AdminCommunicationController@archive",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/workshop/communications/{id}/restore,"App\Http\Controllers\Api\V1\AdminCommunicationController@restore",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/workshop/commissions,"App\Http\Controllers\Api\V1\WorkshopController@listCommissions",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/workshop/commission-rules,"App\Http\Controllers\Api\V1\WorkshopController@listCommissionRules",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/workshop/commission-rules,"App\Http\Controllers\Api\V1\WorkshopController@storeCommissionRule",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
PUT,/api/v1/workshop/commission-rules/{id},"App\Http\Controllers\Api\V1\WorkshopController@updateCommissionRule",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/workshop/commission-rules/{id},"App\Http\Controllers\Api\V1\WorkshopController@deleteCommissionRule",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/workshop/commissions/{id}/pay,"App\Http\Controllers\Api\V1\WorkshopController@payCommission",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/policies,"App\Http\Controllers\Api\V1\GovernanceController@listPolicies",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/governance/policies,"App\Http\Controllers\Api\V1\GovernanceController@storePolicy",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
