method,uri,action,middleware,permissions,sensitive,controller_authorize_call,form_request_authorize,transition_guard_hint,transition_guard_signal,risk
GET,/api/documentation,"L5Swagger\Http\Controllers\SwaggerController@api","L5Swagger\Http\Middleware\Config",,no,no,no,not_applicable,read_only_route,low
GET,/docs,"L5Swagger\Http\Controllers\SwaggerController@docs","L5Swagger\Http\Middleware\Config",,no,no,no,not_applicable,read_only_route,low
GET,/docs/asset/{asset},"L5Swagger\Http\Controllers\SwaggerAssetController@index","L5Swagger\Http\Middleware\Config",,no,no,no,not_applicable,read_only_route,low
GET,/api/oauth2-callback,"L5Swagger\Http\Controllers\SwaggerController@oauth2Callback","L5Swagger\Http\Middleware\Config",,no,no,no,not_applicable,read_only_route,low
GET,/sanctum/csrf-cookie,"Laravel\Sanctum\Http\Controllers\CsrfCookieController@show",web,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/health,Closure,api,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/auth/login,"App\Http\Controllers\Api\V1\Auth\AuthController@login",api,,no,no,yes,not_applicable,non_transition_mutation,low
POST,/api/v1/auth/register,"App\Http\Controllers\Api\V1\Auth\AuthController@register",api,,no,no,yes,not_applicable,non_transition_mutation,low
POST,/api/v1/auth/logout,"App\Http\Controllers\Api\V1\Auth\AuthController@logout",api|auth:sanctum,,no,no,no,not_applicable,non_transition_mutation,low
GET,/api/v1/auth/me,"App\Http\Controllers\Api\V1\Auth\AuthController@me",api|auth:sanctum,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/internal/run-tests,"App\Http\Controllers\Api\V1\Internal\QaValidationController@run",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/internal/test-results,"App\Http\Controllers\Api\V1\Internal\QaValidationController@results",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/dashboard/summary,"App\Http\Controllers\Api\V1\DashboardController@summary",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/internal/domain-events,"App\Http\Controllers\Api\V1\Internal\DomainEventInspectionController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/internal/intelligence/overview,"App\Http\Controllers\Api\V1\Internal\Phase2IntelligenceController@overview",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/internal/intelligence/insights,"App\Http\Controllers\Api\V1\Internal\Phase2IntelligenceController@insights",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/internal/intelligence/recommendations,"App\Http\Controllers\Api\V1\Internal\Phase2IntelligenceController@recommendations",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/internal/intelligence/alerts,"App\Http\Controllers\Api\V1\Internal\Phase2IntelligenceController@alerts",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/internal/intelligence/command-center,"App\Http\Controllers\Api\V1\Internal\Phase2IntelligenceController@commandCenter",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/internal/intelligence/command-center/governance,"App\Http\Controllers\Api\V1\Internal\CommandCenterGovernanceController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,yes,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/internal/intelligence/command-center/governance/history,"App\Http\Controllers\Api\V1\Internal\CommandCenterGovernanceController@history",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/companies,"App\Http\Controllers\Api\V1\CompanyController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,yes,no,not_applicable,read_only_route,low
POST,/api/v1/companies,"App\Http\Controllers\Api\V1\CompanyController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,yes,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/companies/{company},"App\Http\Controllers\Api\V1\CompanyController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,read_only_route,low-medium
PUT,/api/v1/companies/{company},"App\Http\Controllers\Api\V1\CompanyController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,yes,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/companies/{company},"App\Http\Controllers\Api\V1\CompanyController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/companies/{id}/logo,"App\Http\Controllers\Api\V1\CompanyController@uploadLogo",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/companies/{id}/signature,"App\Http\Controllers\Api\V1\CompanyController@uploadSignature",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/companies/{id}/signature,"App\Http\Controllers\Api\V1\CompanyController@deleteSignature",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/companies/{id}/stamp,"App\Http\Controllers\Api\V1\CompanyController@uploadStamp",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/companies/{id}/stamp,"App\Http\Controllers\Api\V1\CompanyController@deleteStamp",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/companies/{id}/settings,"App\Http\Controllers\Api\V1\CompanyController@getSettings",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,yes,no,not_applicable,read_only_route,low
PATCH,/api/v1/companies/{id}/settings,"App\Http\Controllers\Api\V1\CompanyController@updateSettings",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/companies/{id}/pos/test-connection,"App\Http\Controllers\Api\V1\CompanyController@testPosConnection",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/companies/{id}/feature-profile,"App\Http\Controllers\Api\V1\CompanyController@featureProfile",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,yes,no,not_applicable,read_only_route,low
PATCH,/api/v1/companies/{id}/feature-profile,"App\Http\Controllers\Api\V1\CompanyController@updateFeatureProfile",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/branches,"App\Http\Controllers\Api\V1\BranchController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,read_only_route,low-medium
POST,/api/v1/branches,"App\Http\Controllers\Api\V1\BranchController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,yes,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/branches/{branch},"App\Http\Controllers\Api\V1\BranchController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,read_only_route,low-medium
PUT,/api/v1/branches/{branch},"App\Http\Controllers\Api\V1\BranchController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,yes,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/branches/{branch},"App\Http\Controllers\Api\V1\BranchController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/users,"App\Http\Controllers\Api\V1\UserController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,read_only_route,low-medium
POST,/api/v1/users,"App\Http\Controllers\Api\V1\UserController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,yes,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/users/{user},"App\Http\Controllers\Api\V1\UserController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,read_only_route,low-medium
PUT,/api/v1/users/{user},"App\Http\Controllers\Api\V1\UserController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,yes,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/users/{user},"App\Http\Controllers\Api\V1\UserController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/notifications/share-email,"App\Http\Controllers\Api\V1\NotificationController@shareEmail",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/notifications/track-share,"App\Http\Controllers\Api\V1\NotificationController@trackShare",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/roles/{id}/assign,"App\Http\Controllers\Api\V1\RoleController@assign",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/roles/{id}/assign,"App\Http\Controllers\Api\V1\RoleController@assign",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/roles,"App\Http\Controllers\Api\V1\RoleController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/roles,"App\Http\Controllers\Api\V1\RoleController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,yes,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/roles/{role},"App\Http\Controllers\Api\V1\RoleController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
PUT,/api/v1/roles/{role},"App\Http\Controllers\Api\V1\RoleController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,yes,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/roles/{role},"App\Http\Controllers\Api\V1\RoleController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/permissions,"App\Http\Controllers\Api\V1\PermissionController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/permissions/my,"App\Http\Controllers\Api\V1\PermissionController@my",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/subscriptions,"App\Http\Controllers\Api\V1\SubscriptionController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:subscriptions.view,subscriptions.view,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/subscriptions/current,"App\Http\Controllers\Api\V1\SubscriptionController@current",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:subscriptions.view,subscriptions.view,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/subscriptions/renew,"App\Http\Controllers\Api\V1\SubscriptionController@renew",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:subscriptions.manage,subscriptions.manage,yes,no,yes,transition_guard_present,controller_transition_check_detected,low-medium
POST,/api/v1/customers,"App\Http\Controllers\Api\V1\CustomerController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:customers.create,customers.create,yes,no,no,not_applicable,non_transition_mutation,low-medium
PUT,/api/v1/customers/{customer},"App\Http\Controllers\Api\V1\CustomerController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:customers.update,customers.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/customers/{customer},"App\Http\Controllers\Api\V1\CustomerController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:customers.delete,customers.delete,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/customers,"App\Http\Controllers\Api\V1\CustomerController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/customers/{customer},"App\Http\Controllers\Api\V1\CustomerController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/vehicles,"App\Http\Controllers\Api\V1\VehicleController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:vehicles.create,vehicles.create,yes,no,no,not_applicable,non_transition_mutation,low-medium
PUT,/api/v1/vehicles/{vehicle},"App\Http\Controllers\Api\V1\VehicleController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:vehicles.update,vehicles.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/vehicles/{vehicle},"App\Http\Controllers\Api\V1\VehicleController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:vehicles.delete,vehicles.delete,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/vehicles,"App\Http\Controllers\Api\V1\VehicleController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/vehicles/{vehicle},"App\Http\Controllers\Api\V1\VehicleController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/vehicles/{id}/digital-card,"App\Http\Controllers\Api\V1\VehicleController@digitalCard",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/services,"App\Http\Controllers\Api\V1\ServiceController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/services,"App\Http\Controllers\Api\V1\ServiceController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,yes,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/services/{service},"App\Http\Controllers\Api\V1\ServiceController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
PUT,/api/v1/services/{service},"App\Http\Controllers\Api\V1\ServiceController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,yes,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/services/{service},"App\Http\Controllers\Api\V1\ServiceController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,non_transition_mutation,medium
GET,/api/v1/bundles,"App\Http\Controllers\Api\V1\BundleController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/bundles,"App\Http\Controllers\Api\V1\BundleController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,yes,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/bundles/{bundle},"App\Http\Controllers\Api\V1\BundleController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
PUT,/api/v1/bundles/{bundle},"App\Http\Controllers\Api\V1\BundleController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,yes,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/bundles/{bundle},"App\Http\Controllers\Api\V1\BundleController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,non_transition_mutation,medium
GET,/api/v1/work-orders,"App\Http\Controllers\Api\V1\WorkOrderController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/work-orders,"App\Http\Controllers\Api\V1\WorkOrderController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:work_orders.create,work_orders.create,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/work-orders/{id},"App\Http\Controllers\Api\V1\WorkOrderController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
PUT,/api/v1/work-orders/{id},"App\Http\Controllers\Api\V1\WorkOrderController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:work_orders.update,work_orders.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
PATCH,/api/v1/work-orders/{id}/status,"App\Http\Controllers\Api\V1\WorkOrderController@updateStatus",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:work_orders.update,work_orders.update,yes,no,no,transition_guard_present,controller_transition_check_detected,low-medium
DELETE,/api/v1/work-orders/{id},"App\Http\Controllers\Api\V1\WorkOrderController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:work_orders.delete,work_orders.delete,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/invoices,"App\Http\Controllers\Api\V1\InvoiceController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|idempotent|permission:invoices.create,invoices.create,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/invoices/{id}/pay,"App\Http\Controllers\Api\V1\InvoiceController@pay",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|idempotent|permission:invoices.update,invoices.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/pos/sale,"App\Http\Controllers\Api\V1\POSController@sale",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|idempotent|permission:invoices.create,invoices.create,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/invoices/from-work-order/{workOrderId},"App\Http\Controllers\Api\V1\InvoiceController@fromWorkOrder",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|idempotent|permission:invoices.create,invoices.create,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/invoices,"App\Http\Controllers\Api\V1\InvoiceController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:invoices.view,invoices.view,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/invoices/{invoice},"App\Http\Controllers\Api\V1\InvoiceController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:invoices.view,invoices.view,yes,no,no,not_applicable,read_only_route,low-medium
PUT,/api/v1/invoices/{invoice},"App\Http\Controllers\Api\V1\InvoiceController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:invoices.update,invoices.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
PATCH,/api/v1/invoices/{invoice},"App\Http\Controllers\Api\V1\InvoiceController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:invoices.update,invoices.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/invoices/{invoice},"App\Http\Controllers\Api\V1\InvoiceController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:invoices.delete,invoices.delete,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/invoices/{id}/media,"App\Http\Controllers\Api\V1\InvoiceController@uploadMedia",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:invoices.update,invoices.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/wallet,"App\Http\Controllers\Api\V1\WalletController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:invoices.view,invoices.view,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/wallet/transactions,"App\Http\Controllers\Api\V1\WalletController@transactions",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:invoices.view,invoices.view,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/wallet/top-up,"App\Http\Controllers\Api\V1\WalletController@topUp",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|idempotent|permission:invoices.update,invoices.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/wallet/transfer,"App\Http\Controllers\Api\V1\WalletController@transfer",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|idempotent|permission:invoices.update,invoices.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/wallet/transactions/{id}/reverse,"App\Http\Controllers\Api\V1\WalletController@reverse",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:invoices.update,invoices.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/payments/invoice/{invoiceId},"App\Http\Controllers\Api\V1\WalletController@paymentsByInvoice",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:invoices.view,invoices.view,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/payments/{id}/refund,"App\Http\Controllers\Api\V1\WalletController@refundPayment",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|idempotent|permission:invoices.update,invoices.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/products/{product},"App\Http\Controllers\Api\V1\ProductController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:products.delete,products.delete,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/products,"App\Http\Controllers\Api\V1\ProductController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/products,"App\Http\Controllers\Api\V1\ProductController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,yes,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/products/{product},"App\Http\Controllers\Api\V1\ProductController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
PUT,/api/v1/products/{product},"App\Http\Controllers\Api\V1\ProductController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,yes,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/quotes,"App\Http\Controllers\Api\V1\QuoteController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/quotes,"App\Http\Controllers\Api\V1\QuoteController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,non_transition_mutation,medium
GET,/api/v1/quotes/{quote},"App\Http\Controllers\Api\V1\QuoteController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
PUT,/api/v1/quotes/{quote},"App\Http\Controllers\Api\V1\QuoteController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,non_transition_mutation,medium
DELETE,/api/v1/quotes/{quote},"App\Http\Controllers\Api\V1\QuoteController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,non_transition_mutation,medium
GET,/api/v1/nps,"App\Http\Controllers\Api\V1\NpsController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/nps,"App\Http\Controllers\Api\V1\NpsController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,non_transition_mutation,medium
GET,/api/v1/warranty-items,Closure,api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/service-reminders,Closure,api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/units,"App\Http\Controllers\Api\V1\UnitController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/units,"App\Http\Controllers\Api\V1\UnitController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,yes,not_applicable,non_transition_mutation,low-medium
PUT,/api/v1/units/{id},"App\Http\Controllers\Api\V1\UnitController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,non_transition_mutation,medium
DELETE,/api/v1/units/{id},"App\Http\Controllers\Api\V1\UnitController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,non_transition_mutation,medium
GET,/api/v1/units/conversions,"App\Http\Controllers\Api\V1\UnitController@conversions",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/units/conversions,"App\Http\Controllers\Api\V1\UnitController@storeConversion",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,non_transition_mutation,medium
POST,/api/v1/suppliers,"App\Http\Controllers\Api\V1\SupplierController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:suppliers.create,suppliers.create,yes,no,no,not_applicable,non_transition_mutation,low-medium
PUT,/api/v1/suppliers/{supplier},"App\Http\Controllers\Api\V1\SupplierController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:suppliers.update,suppliers.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/suppliers/{supplier},"App\Http\Controllers\Api\V1\SupplierController@destroy",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:suppliers.delete,suppliers.delete,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/suppliers,"App\Http\Controllers\Api\V1\SupplierController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/suppliers/{supplier},"App\Http\Controllers\Api\V1\SupplierController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/purchases,"App\Http\Controllers\Api\V1\PurchaseController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/purchases,"App\Http\Controllers\Api\V1\PurchaseController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:purchases.create,purchases.create,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/purchases/{id},"App\Http\Controllers\Api\V1\PurchaseController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
PATCH,/api/v1/purchases/{id}/status,"App\Http\Controllers\Api\V1\PurchaseController@updateStatus",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:purchases.create,purchases.create,yes,no,no,transition_guard_present,controller_transition_check_detected,low-medium
POST,/api/v1/purchases/{id}/receive,"App\Http\Controllers\Api\V1\PurchaseController@receive",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:purchases.create,purchases.create,yes,no,no,transition_guard_present,controller_transition_check_detected,low-medium
